TICKER,SETOR,COTACAO_FECHAMENTO,VALOR,LIQUIDEZMEDIADIARIA,PVP,YELD,MEDIA_YIELD_12M,SOMA_YIELD_ANO_CORRENTE,RENTABILIDADE,NUMERO_COTISTA,TX_GESTAO,PATRIMONIO_LIQUIDO
WPLZ11,Shoppings,49.5400,49.01,8401.28,0.7344,0.6500,0.6417,3.2200,-1.7556,1631,,76967519.2000
WSEC11,Outros,6.9200,6.77,3993.83,0.6641,23.5300,3.3508,29.8600,60.2524,549,,25235325.88
WTSP11B,Misto,56.9500,36,3852,0.6769,0.0900,2.2658,0.8100,---,210,,104295912.9400
XPCA11,Outros,7.6000,7.54,787795.67,0.7897,1.4500,1.1458,6.0200,35.5989,98553,,432738486.5000
XPCI11,Papéis,80.4000,79.44,1445624.28,0.9016,1.1200,1.1033,5.6300,14.4563,68302,,761623126.3700
XPCM11,Lajes Corporativas,10.2200,7,11342.67,0.258,0.2000,0.0000,0.2000,-0.6747,18410,,70109502.2400
XPHT11,Hotéis,43.4900,123,230869.59,0.6577,0.9300,0.8425,10.1100,15.3653,1268,,581976733.7300
XPID11,Outros,56.6400,56.74,190238.39,0,1.0600,1.1825,6.0900,3.1086,0,,0
XPIE11,Outros,61.8400,60.1,1622166.67,0,1.6200,1.4558,8.2400,15.0263,0,,0
XPIN11,Imóveis Industriais e Logísticos,67.5400,71.89,330169.11,0.7012,1.1000,1.0283,4.5000,12.4518,44611,,741554183.5000
XPLG11,Imóveis Industriais e Logísticos,101.4000,98.79,3030666.78,0.9375,0.8100,0.8475,4.3500,17.6014,341920,,3328715642.1700
XPML11,Shoppings,103.7800,106.01,11558178.89,0.9118,0.8900,0.9233,3.7900,15.9560,588620,,6648002647.4600
XPPR11,Lajes Corporativas,13.1000,12.54,78639.38,0.2067,0.5300,0.3650,0.5300,-8.5456,42867,,443953188.5100
XPSF11,Fundo de Fundos,6.3800,6.23,444053.28,0.8385,0.9400,1.0525,5.3200,9.1997,62683,,324337448.8200
XTED11,Lajes Corporativas,---,8.82,17641.88,0.6771,---,---,---,---,4098,,50230589.4700
YUFI11,Fundo de Desenvolvimento,59.5000,59.5,5.17,0.5606,0.2900,0.3025,2.7900,-29.8581,56,,52291233.19
YUFI11B,Outros,0.0000,0,,0,0.0000,0.0000,---,0.0000,0,,41701052.9800
ZAGH11,Serviços Financeiros Diversos,10.1400,10.37,1083.94,1.1418,0.6900,0.5650,2.8100,-16.9743,408,,80888876.47
ZAVC11,Outros,---,8.48,54011.11,0.8205,0.0000,1.2417,0.0000,---,195,,30880981.49
ZAVI11,Outros,93.0300,93.6,77147.78,0.7134,1.2600,1.1767,6.1900,0.9309,3332,,153693067.63
ZIFI11,Fundo de Desenvolvimento,---,600,2812.5,0.3384,0.0000,0.0000,0.0000,---,94,,84201982.63
